больша'я бо'льшая
до'бром добро'м
ми'лую милу'ю
поги'б по'гиб
пу'стынному пусты'нному
ра'звитый ра'зви'тый
черни' че'рни
за'реву зареву'
доску' до'ску
бо'розду борозду'
здорово' здоро'во
замени'м заме'ним
земли' зе'мли
жи'ла жила'
жилы' жи'лы
рассыпа'лся рассы'пался
чу'дной чудно'й
чудно'е чу'дное
честны'е че'стные
гото'в го'тов
пу'стынную пусты'нную
сто'ишь стои'шь
кружи'тся кру'жится
помни'те по'мните
крыла' кры'ла
пенье' пе'нье
назва'н на'зван
ви'на вина'
ле'та лета'
ле'ту лету'
друго'м дру'гом
узри'шь у'зришь
ле'сах леса'х
больши'м бо'льшим
больши'х бо'льших
покрово'м покро'вом
удалы'е уда'лые
ве'кам века'м
ве'ках века'х
ме'тил мети'л
сушу' су'шу
воро'т во'рот
воро'н во'рон
казни' ка'зни
пу'стынные пусты'нные
при'шло пришло'
при'шла пришла'
пу'стынных пусты'нных
са'мому самому'
люби'м лю'бим
хлеба' хле'ба
све'жей свеже'й
воро'там во'ротам
воро'тах во'ротах
спеши'шь спе'шишь
умо'лк у'молк
лица' ли'ца
све'тлую светлу'ю
пои'т по'ит
по'рочном поро'чном
узри'м у'зрим
узри'т у'зрит
куплю' ку'плю
боли' бо'ли
те'ней тене'й
лавро'вых ла'вровых
просто'ю простою'
лавро'вый ла'вровый
лавро'вым ла'вровым
удалу'ю уда'лую
ве'нчанный венча'нный
воро'тами во'ротами
ро'сла росла'
грязи' гря'зи
зареза'ла заре'зала
мастерску'ю ма'стерскую
отво'рит отвори'т
дари'шь да'ришь
сти'ха стиха'
сти'хе стихе'
плу'том плуто'м
вихре' ви'хре
вода'ми во'дами
чудны'е чу'дные
чудны'х чу'дных
же'злом жезло'м
пастушка' пасту'шка
кувшине' кувши'не
осени' о'сени
стене' сте'не
пали' па'ли
наше'й на'шей
по'ступи поступи'
серди'т се'рдит
года' го'да
нача'ло на'чало
лавро'в ла'вров
стра'стному страстно'му
дру'жке дружке'
су'чках сучка'х
дру'жку дружку'
уде' у'де
цве'та цвета'
признаю'сь призна'юсь
за'пах запа'х
нача'ла начала'
засло'нишь заслони'шь
жили'ща жи'лища
образа'ми о'бразами
гу'ртом гурто'м
за'пил запи'л
роды' ро'ды
рода' ро'да
кости' ко'сти
сто'ю стою'
казаки' каза'ки
по'рочную поро'чную
напои'шь напо'ишь
назвалась назвала'сь
я'рком ярко'м
сме'ло смело'
сме'ли смели'
сме'ла смела'
голу'бок голубо'к
па'рами пара'ми
примеси' при'меси
пу'стынно пусты'нно
по'ре поре'
по'ра пора'
зарево'м за'ревом
чи'нах чина'х
ни'зком низко'м
сто'пами стопа'ми
сти'хами стиха'ми
пищу' пи'щу
пищи' пи'щи
ме'чу мечу'
кружи'мся кру'жимся
шеве'лит шевели'т
воде' во'де
маня'т ма'нят
и'збу избу'
набе'ги набеги'
ски'рдами скирда'ми
жарки'х жа'рких
пухову'ю пухо'вую
таю' та'ю
домо'вого домово'го
са'мом само'м
са'мой само'й
пу'стынными пусты'нными
скорби' ско'рби
соро'к со'рок
соро'ка сорока'
чести' че'сти
замка'м за'мкам
пусты'ни пу'стыни
пусты'нь пу'стынь
во'лнам волна'м
во'лнах волна'х
добро'те доброте'
загово'р за'говор
извести' и'звести
духо'в ду'хов
сини'м си'ним
посо'х по'сох
пропада'й пропа'дай
стена'ми сте'нами
пропада'ла пропа'дала
силу' си'лу
сила' си'ла
си'ле силе'
пыли' пы'ли
воро'ну во'рону
щедро'та щедрота'
прави'ла пра'вила
во'да вода'
ношу' но'шу
дружи'тся дру'жится
замки' за'мки
замку' за'мку
леска' ле'ска
пу'стынном пусты'нном
пу'стынной пусты'нной
стате'й ста'тей
ко'гти когти'
то'лки толки'
ска'мьи скамьи'
приста'нь при'стань
кру'жку кружку'
кружка' кру'жка
кру'жки кружки'
борза'я бо'рзая
выноси'ла вы'носила
поя'т по'ят
черти'т че'ртит
опали' опа'ли
пресе'клись пресекли'сь
пущу' пу'щу
па'рной парно'й
части' ча'сти
па'ру пару'
парю' па'рю
ужи'нах у'жинах
страстно'е стра'стное
страстно'м стра'стном
стра'стной страстно'й
деньги' де'ньги
прокля'тых про'клятых
прокля'тый про'клятый
обе'дни обедни'
бабье' ба'бье
стои'те сто'ите
пу'шки пушки'
прокази'л прока'зил
казако'в каза'ков
замка'ми за'мками
спешу' спе'шу
ко'сится коси'тся
уни'жу унижу'
точи'т то'чит
му'ки муки'
му'ка мука'
му'ке муке'
му'ку муку'
бро'ня броня'
бро'ню броню'
